id	name	rank
ALB	Albania	47
DZA	Algeria	152
AGO	Angola	141
ARG	Argentina	124
ARM	Armenia	56
AUS	Australia	5
AUT	Austria	10
AZE	Azerbaijan	129
BHS	Bahamas	55
BHR	Bahrain	94
BGD	Bangladesh	134
BRD	Barbados	60
BEL	Belgium	17
BLZ	Belize	76
BEN	Benin	90
BTN	Bhutan	82
BOL	Bolivia	86
BIH	Bosnia and Herzegovina	53
BWA	Botswana	70
BRA	Brazil	114
BRN	Brunei Darussalam	137
BGR	Bulgaria	42
BFA	Burkina Faso	94
BDI	Burundi	151
KHM	Cambodia	61
CMR	Cameroon	139
CAN	Canada	4
CPV	Cape Verde	58
CAF	Central Afr. Rep.	150
TCD	Chad	144
CHL	Chile	35
CHN	China	133
COL	Colombia	88
COD	Congo, Dem. R.	154
COG	Congo, Rep. Of	138
CRI	Costa Rica	33
CIV	Cote d'Ivoire	111
HRV	Croatia	43
CYP	Cyprus	35
CZE	Czech Rep.	25
DNK	Denmark	7
DOM	Dominican Rep.	58
ECU	Ecuador	107
EGY	Egypt	153
SLV	El Salvador	52
EST	Estonia	16
ETH	Ethiopia	149
FJI	Fiji	67
FIN	Finland	6
FRA	France	30
GAB	Gabon	147
GMB	Gambia, The	105
GEO	Georgia	41
DEU	Germany	12
GHA	Ghana	65
GRC	Greece	50
GTM	Guatemala	57
GIN	Guinea	143
GNB	Guinea-Bissau	132
GUY	Guyana	102
HTI	Haiti	68
HND	Honduras	79
HKG	Hong Kong	2
HUN	Hungary	39
ISL	Iceland	25
IND	India	121
IDN	Indonesia	92
IRN	Iran	157
IRL	Ireland	14
ISR	Israel	51
ITA	Italy	37
JAM	Jamaica	61
JPN	Japan	30
JOR	Jordan	77
KAZ	Kazakhstan	83
KEN	Kenya	97
KOR	Korea, South	28
KWT	Kuwait	120
KGZ	Kyrgyz Republic	100
LAO	Laos	113
LVA	Latvia	24
LBN	Lebanon	102
LSO	Lesotho	107
LBR	Liberia	85
LBY	Libya	158
LTU	Lithuania	20
LUX	Luxembourg	8
MKD	Macedonia	63
MDG	Madagascar	84
MWI	Malawi	94
MYS	Malaysia	112
MLI	Mali	135
MLT	Malta	18
MRT	Mauritania	147
MUS	Mauritius	40
MEX	Mexico	77
MDA	Moldova	81
MNG	Mongolia	45
MNE	Montenegro	46
MAR	Morocco	126
MOZ	Mozambique	122
MMR	Myanmar	142
NAM	Namibia	72
NPL	Nepal	87
NLD	Netherlands	13
NZL	New Zealand	1
NIC	Nicaragua	74
NER	Niger	135
NGA	Nigeria	130
NOR	Norway	8
OMN	Oman	116
PAK	Pakistan	145
PAN	Panama	48
PNG	Pap. New Guinea	99
PRY	Paraguay	68
PER	Peru	49
PHL	Philippines	72
POL	Poland	32
PRT	Portugal	22
QAT	Qatar	93
ROU	Romania	20
RUS	Russia	119
RWA	Rwanda	75
SAU	Saudi Arabia	140
SEN	Senegal	107
SRB	Serbia	54
SYC	Seychelles	66
SLE	Sierra Leone	98
SGP	Singapore	27
SVK	Slovak Rep.	34
SVN	Slovenia	38
ZAF	South Africa	64
ESP	Spain	28
LKA	Sri Lanka	127
SUR	Suriname	70
SWZ	Swaziland	124
SWE	Sweden	15
CHE	Switzerland	3
SYR	Syria	159
TWN	Taiwan	23
TJK	Tajikistan	118
TZA	Tanzania	105
THA	Thailand	101
TLS	Timor-Leste	110
TGO	Togo	122
TTO	Trinidad and Tobago	80
TUN	Tunisia	104
TUR	Turkey	88
UGA	Uganda	91
UKR	Ukraine	131
ARE	United Arab Emirates	115
GBR	United Kingdom	10
USA	United States	19
URY	Uruguay	43
VEN	Venezuela	156
VNM	Vietnam	127
YEM	Yemen, Rep.	155
ZMB	Zambia	117
ZWE	Zimbabwe	145
